file_id	size_bytes	mime	parent_id	file_name
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE	39974	doc	BOROOT	Chat: CourseRev + The Links at Bodega Harbour - 2026/08/19 14:29 PDT - Notes by Gemini
1eNhbK28h7Y6Vnx4CxhWYoMhK4yCkVBnmPImPwyuebnk	6930	doc	BOROOT	Chat: CourseRev + The Links at Bodega Harbour - 2026/08/18 14:30 PDT - Notes by Gemini
1NErdrdlxiNuIqbxxcJayg3hCf6YFacXlwq-sGecFwNo	31843	doc	BOROOT	Chat: CourseRev + Old Greenwood  - 2026/08/18 10:00 PDT - Notes by Gemini
1l6SjE9amM3BwVYl5Sd3lBvXvAVi6jP6YMrOploN4iM8	29638	doc	BOROOT	CourseRev + Pine Springs - Chat - 2026/08/12 12:00 PDT - Notes by Gemini
1BPJko8wI1WqBvBHy9SAXMRRCM-VGk8f7_D0MPgntmpc	129972	doc	BOROOT	CourseRev + Laughlin Ranch - Chat - 2026/08/12 11:00 PDT - Notes by Gemini
1lh718a6-SEz3M0xIoA3RugMV5XGUbKORbMooYTbsCM0	4072	doc	BOROOT	CourseRev + Laughlin Ranch - Chat - 2026/08/12 09:59 PDT - Notes by Gemini
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ	35444	doc	BOROOT	Emerald Isle & CourseRev - Quick Chat - 2026/08/06 12:29 PDT - Notes by Gemini
1uqIVoYLbhJ0eB7GaWyXk0bTbJ97Eqp7H_Pn6UE7ozDQ	4058	doc	BOROOT	CourseRev + Dave White Muni - Quick Chat - 2026/06/24 14:01 PDT - Notes by Gemini
17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU	26778	doc	BOROOT	CourseRev + Desert Princess CC - Quick Chat - 2026/06/22 12:29 PDT - Notes by Gemini
1-kLLCjoiaTphDfAbOlQ_bx1YjWj-jxM_RtJ3OC3SRB0	24993	doc	BOROOT	CourseRev + Presidio - Quick Call about Pricing Structure - 2026/06/19 13:58 PDT - Notes by Gemini
1_cUB0ZFNgd6TpD_bnKTo8ta7v2uNeyG7EdgdlLB0bOQ	30781	doc	BOROOT	CourseRev + Indian Canyons - Quick Chat - 2026/06/11 14:23 PDT - Notes by Gemini
1xhOBR9R92eEy7LXwUxShOj7Euz7bSpqCyhQUEUSw5IE	4773	doc	BOROOT	CourseRev + Indian Canyons - Quick Chat - 2026/06/11 14:00 PDT - Notes by Gemini
155XNHSs1CdNjb36xslmbxSDEyO8p3L67SXifzeZ4LWI	4239	doc	BOROOT	CourseRev + Presidio - Touchbase - 2026/05/21 13:31 PDT - Notes by Gemini
1TkBlhJYHKPHgpX7Q6FpLHzeWiiLyPRtnbW6wk4DFUP4	29585	doc	BOROOT	CourseRev + Presidio - Quick Chat - 2026/05/20 09:31 PDT - Notes by Gemini
1jPjVlJ67PtF60dh-W4U4BNb4gRakrFEXmUbGG9ZhFvI	13588	doc	BOROOT	CourseRev + Temecula Creek Inn - Quick Chat - 2026/05/18 12:44 PDT - Notes by Gemini
1ORcZPbh7I7PtbkTyF7qzIhNXqt1auvau2fj3jPh8F7I	4080	doc	BOCEDAR	Chat: CourseRev + Cedaredge Golf Course - 2026/09/04 12:01 PDT - Notes by Gemini
18Hy9dQodkUWl4qvQUMRiNTr9LmxYX_vGUdLCnSCsNGg	443209	doc	BOTILDEN	Chat: CourseRev + Tilden Park Golf Course - 2026/09/04 10:00 PDT - Notes by Gemini
1dZqrIT7F3_iJhg3MxkWGjPi_VrhI_kTbfSGRpZSRVRY	3981	doc	BOCEDAR	Chat: CourseRev + Cedaredge Golf Course - 2026/09/01 10:00 PDT - Notes by Gemini
1XJPIqjinc22NKTuQ5M32NepFwaC7KN3blQFAJbWR-VU	43705	doc	BOHOKUALA	CourseRev + Ocean Course Hokuala - 2026/08/31 11:30 PDT - Notes by Gemini
