file_id	size_bytes	mime	parent_id	file_name
1sEaqDcLad7Rc1UuMkJbIgTGETbzGe1e7		shortcut	BOOUTBOUND	Outbound Team Sync - 2026/09/15 13:59 EDT - Notes by Gemini
1g0_NDTV3VLNxuKMY_ZaV6LYmmGCN53Io		shortcut	BOMONDAY	Monday Sales Sync - 2026/09/14 11:30 EDT - Notes by Gemini
1kqXEqTmFlHgzjdQx9ef4VPsKKuqeq-Ho		shortcut	BOHUDDLE	Huddle Meeting - 2026/09/11 10:58 EDT - Recording
1Jyfo89P3Ubjny8GWCwnnvgGAMo704vL9		shortcut	BOHUDDLE	Huddle Meeting - 2026/09/11 10:58 EDT - Notes by Gemini
1UlCmdqpGmT7neH0zx1XYVVtND72QN98Z		shortcut	BOTHURSDAY	Thursday Sales Sync - 2026/09/10 11:30 EDT - Notes by Gemini
19jHHRmPLornVQMuRlMiGupquNnLdaskP		shortcut	BOCOURSEREVIEW	Course Review - 2026/09/09 09:58 EDT - Notes by Gemini
1b5vzJtUvWn8WlUUAGeZuSLv-P7UfB53h		shortcut	BOHUDDLE	Huddle Meeting - 2026/09/04 10:59 EDT - Recording
1WgdscF4z2cwOEnWJRMwlOjdfYq7MZ-t2		shortcut	BOHUDDLE	Huddle Meeting - 2026/09/04 10:59 EDT - Notes by Gemini
1WuyC34ZjiVP___jXhEMcYmHV3zJ6txeI		shortcut	BOTHURSDAY	Thursday Sales Sync - 2026/09/03 11:30 EDT - Notes by Gemini
1cc563B7h3Iaagp1lytB6kFPVlC6ylhto		shortcut	BOCOURSEREVIEW	Course Review - 2026/09/02 09:59 EDT - Notes by Gemini
1T_FKG55pCPal95uzvyJ9SflXakLKGyO3		shortcut	BOHUDDLE	Huddle Meeting - 2026/09/01 10:58 EDT - Recording
1Hd40XwZEMyvBgmZxmrDLDE3XvBmTKFWR		shortcut	BOHUDDLE	Huddle Meeting - 2026/09/01 10:58 EDT - Notes by Gemini
1JWI9dPNjldmHm73Zuqo4pkFHhdzA_7Av		shortcut	BOMONDAY	Monday Sales Sync - 2026/08/31 11:30 EDT - Notes by Gemini
1MnAO3VUZ_3Lhs8LeAs3qx7wAG7p4DI8V		shortcut	BOHUDDLE	Huddle Meeting - 2026/08/28 10:59 EDT - Recording
1OOfBWxC0tj-cr9t_Z7snRUaYFQMG9h8Y		shortcut	BOHUDDLE	Huddle Meeting - 2026/08/28 10:59 EDT - Notes by Gemini
1JATw8qsiZbSAQsy3_R461ryrD24FD-Sj		shortcut	BOTHURSDAY	Thursday Sales Sync - 2026/08/27 11:30 EDT - Notes by Gemini
1M0Dk2h-z4Hy0s_P11AkeVh3uHefplK8t		shortcut	BOCOURSEREVIEW	Course Review - 2026/08/26 09:59 EDT - Notes by Gemini
1AV3bkldPmXGnjz7dYkUUi0-MqORQHs28		shortcut	BOHUDDLE	Huddle Meeting - 2026/08/25 10:59 EDT - Notes by Gemini
1hIcLis5z4RyLrGB0N6fNimi-bx2J-2U_		shortcut	BOHUDDLE	Huddle Meeting - 2026/08/25 10:59 EDT - Recording
1XbdAnpyIc5zh5qH3UNRkOSdbi761CSSg		shortcut	BOMONDAY	Monday Sales Sync - 2026/08/24 11:30 EDT - Notes by Gemini
14aFjSjnWmjEkrnC2kkBhTWYOIuER7D2l		shortcut	BOTHURSDAY	Thursday Sales Sync - 2026/08/20 11:29 EDT - Notes by Gemini
1AbRXj1DJNrc4cvHtytlhJrt9eAGRa6ul		shortcut	BOHUDDLE	Huddle Meeting - 2026/08/18 11:00 EDT - Recording
1mJhNiHtMjquJ08PceaeKZHkvtl3TAeUf		shortcut	BOHUDDLE	Huddle Meeting - 2026/08/18 11:00 EDT - Notes by Gemini
1pLeKb1VveS94kuQjJeY-3uiAMIE84xMk		shortcut	BOMONDAY	Monday Sales Sync - 2026/08/17 11:29 EDT - Notes by Gemini
1M0GmDmHpWYMp0wswkyU3gww4IbXRGTgg		shortcut	BOTHURSDAY	Thursday Sales Sync - 2026/08/13 11:29 EDT - Notes by Gemini
